,Stock_Codes,Company_Name
268,500493,BHARAT FORGE LTD.
269,500495,Escorts Kubota Ltd
270,500500,HINDUSTAN MOTORS LTD.
271,500510,LARSEN & TOUBRO LTD.
272,500520,MAHINDRA & MAHINDRA LTD.
273,500530,BOSCH LTD.
274,500540,PREMIER LTD.
275,500547,BHARAT PETROLEUM CORPORATION LTD.
276,500550,SIEMENS LTD.
277,500570,TATA MOTORS LTD.
278,500575,VOLTAS LTD.
279,500620,GREAT EASTERN SHIPPING CO.LTD.
280,500630,ESSAR PORTS LTD.
281,500645,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.
282,500650,EXCEL INDUSTRIES LTD.
283,500655,Garware Hi-Tech Films Ltd
284,500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.
285,500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.
286,500672,NOVARTIS INDIA LTD.
287,500674,Sanofi India Ltd
288,500676,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.
289,500680,PFIZER LTD.
290,500690,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.
291,500696,HINDUSTAN UNILEVER LTD.
292,500710,Akzo Nobel India Limited
293,500730,NOCIL LTD.
294,500770,TATA CHEMICALS LTD.
295,500777,TAMILNADU PETROPRODUCTS LTD.
296,500780,Zuari Industries Ltd
297,500790,NESTLE INDIA LTD.
298,500800,Tata Consumer Products Ltd
299,500820,ASIAN PAINTS LTD.
300,500825,BRITANNIA INDUSTRIES LTD.
301,500830,COLGATE-PALMOLIVE (INDIA) LTD.
302,500840,EIH LTD.
303,500850,INDIAN HOTELS CO.LTD.
304,500870,CASTROL INDIA LTD.
305,500875,ITC LTD.
306,500877,APOLLO TYRES LTD.
307,500878,CEAT LTD.
308,500890,MODI RUBBER LTD.
309,500940,FINOLEX INDUSTRIES LTD.
310,500945,VALUE INDUSTRIES LTD.
311,501061,STATE BANK OF BIKANER & JAIPUR
312,501110,SUNRISE INDUSTRIAL TRADERS LTD.
313,501111,GOLD ROCK INVESTMENTS LTD.
314,501144,PEOPLES INVESTMENTS LTD.
315,501148,DALAL STREET INVESTMENTS LTD.
316,501150,CENTRUM CAPITAL LTD.
317,501151,KARTIK INVESTMENTS TRUST LTD.
318,501154,ROSE INVESTMENTS LTD.
319,501178,SURYODAYA INVESTMENT & TRADING COMPANY LTD.
320,501179,OSCAR INVESTMENTS LTD.
321,501209,Maestros Mediline Systems Ltd.
322,501233,Bhagyodaya Infrastructure Development Ltd
323,501242,TCI FINANCE LTD.
324,501261,KRATOS ENERGY & INFRASTRUCTURE LTD.
325,501267,Shree Rani Sati Investment & Finance Ltd.
326,501270,Antariksh Industries Ltd
327,501295,INDUSTRIAL INVESTMENT TRUST LTD.
328,501298,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.
329,501301,TATA INVESTMENT CORPORATION LTD.
330,501311,JAYABHARAT CREDIT LTD.
331,501314,Gromo Trade & Consultancy Ltd
332,501343,MOTOR & GENERAL FINANCE LTD.
333,501351,RAPID INVESTMENTS LTD.
334,501368,Gujarat Organics Ltd.
335,501370,WALCHAND PEOPLEFIRST LTD.
336,501386,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.
337,501391,W.H.BRADY & CO.LTD.
338,501421,TECHNVISION VENTURES LTD.
339,501423,SHAILY ENGINEERING PLASTICS LTD.
340,501425,BOMBAY BURMAH TRADING CORP.LTD.
341,501430,BOMBAY CYCLE & MOTOR AGENCY LTD.
342,501455,GREAVES COTTON LTD.
343,501471,MACK TRADING CO.LTD.
344,501473,MALABAR TRADING CO.LTD
345,501477,MULLER & PHIPPS (INDIA) LTD.
346,501479,New Sagar Trading Co.ltd.
347,501482,Parekh Distributors Ltd.
348,501622,Amalgamated Electricity Co.ltd.
349,501630,Anand Projects Ltd
350,501700,INDIANIVESH LTD.
351,501756,Thana Electric Supply Co.ltd.
352,501827,Central Provinces Railways Co.ltd.
353,501831,COASTAL CORPORATION LTD.
354,501833,CHOWGULE STEAMSHIPS LTD.
355,501848,GLOBAL OFFSHORE SERVICES LTD.
356,501945,DHENU BUILDCON INFRA LTD.
357,502015,ASI Industries Ltd
358,502090,SAGAR CEMENTS LTD.
359,502137,DECCAN CEMENTS LTD.
360,502150,KALYANPUR CEMENTS LTD.
361,502157,MANGALAM CEMENT LTD.
362,502165,OCL INDIA LTD.
363,502168,NCL INDUSTRIES LTD.
364,502175,SAURASHTRA CEMENT LTD.
365,502180,SHREE DIGVIJAY CEMENT CO.LTD.
366,502216,BOMBAY POTTERIES & TILES LTD.
367,502219,Borosil Renewables Ltd
368,502223,Excel Glasses Ltd.
369,502250,Lerthai Finance Ltd
370,502271,RAASI REFRACTORIES LTD.
371,502281,TRIVENI GLASS LTD.
372,502294,Nilachal Refractories Ltd.
373,502330,Andhra Paper Ltd
374,502352,AURANGABAD PAPER MILLS LTD.
375,502355,BALKRISHNA INDUSTRIES LTD.
376,502405,MYSORE PAPER MILLS LTD.
377,502407,NATH PULP & PAPER MILLS LTD.
378,502420,ORIENT PAPER & INDUSTRIES LTD.
379,502445,CITADEL REALTY AND DEVELOPERS LTD.
380,502448,ROLLATAINERS LTD.
381,502450,SESHASAYEE PAPER & BOARDS LTD.
382,502455,Sirpur Paper Mills Ltd.
383,502460,SOLID CONTAINERS LTD.
384,502465,SPECIALITY PAPERS LTD.
385,502473,RELSON INDIA LTD.
386,502563,SHREE BHAWANI PAPER MILLS LTD.
387,502587,Nath Industries Ltd
388,502589,VAPI PAPER MILLS LTD.
389,502742,SINTEX INDUSTRIES LTD.
390,502761,Blue Blends (India) Ltd
391,502820,DCM LTD.
392,502850,GAEKWAR MILLS LTD.
393,502865,FORBES & COMPANY LTD.
394,502873,H.P.COTTON TEXTILE MILLS LTD.
395,502893,United Interactive Ltd.
396,502901,Jamshri Realty Ltd
397,502933,KATARE SPINNING MILLS LTD.
398,502937,KESORAM INDUSTRIES LTD.
399,502958,LAKSHMI MILLS COMPANY LTD.
400,502986,VARDHMAN TEXTILES LTD.
401,502995,MALWA COTTON SPINNING MILLS LTD.
402,503015,MODERN INDIA LTD.
403,503031,PENINSULA LAND LTD.
404,503092,PASUPATI SPG.& WVG.MILLS LTD.
405,503100,The Phoenix Mills Ltd
406,503101,MARATHON NEXTGEN REALTY LTD.
407,503127,RAJA BAHADUR INTERNATIONAL LTD.
408,503162,RELIANCE CHEMOTEX INDUSTRIES LTD.
409,503169,RUBY MILLS LTD.
410,503205,SHREE RAM URBAN INFRASTRUCTURE LTD.
411,503229,SIMPLEX REALTY LTD.
412,503310,SWAN ENERGY LTD.
413,503349,VICTORIA MILLS LTD.
414,503622,S.V.TRADING & AGENCIES LTD.
415,503624,SVARAJ TRADING & AGENCIES LTD.
416,503626,Kshitiz Investment Ltd.
417,503630,Shell Infotech Ltd.
418,503635,SHREE SALASAR INVESTMENT LTD.
419,503637,DHANLEELA INVESTMENTS & TRADING COMPANY LTD.
420,503639,INDSOYA LTD.
421,503641,Zodiac Ventures Limited
422,503657,VEER ENERGY & INFRASTRUCTURE LTD.
423,503659,Sw Investments Ltd
424,503663,Tilak Ventures Ltd
425,503669,K K Fincorp Limited
426,503671,UNIJOLLY INVESTMENTS CO.LTD.
427,503675,Wagend Infra Venture Limited
428,503681,ELCID INVESTMENTS LTD.
429,503685,MEDIAONE GLOBAL ENTERTAINMENT LTD.
430,503689,HEALTHY INVESTMENTS LTD.
431,503691,SAHARA ONE MEDIA & ENTERTAINMENT LTD.
432,503696,SHREENATH INVESTMENTS CO.LTD.
433,503699,Geodesic Ltd.
434,503722,BANSWARA SYNTEX LTD.
435,503772,MODELLA WOOLLENS LTD.
436,503776,MODIPON LTD.
437,503780,Nrc Ltd.
438,503796,DIGJAM LTD.
439,503804,SHRI DINESH MILLS LTD.
440,503806,SRF LTD.
441,503811,SIYARAM SILK MILLS LTD.
442,503816,SWADESHI POLYTEX LTD.
443,503823,BIRLA TRANSASIA CARPETS LTD.
444,503831,FOMENTO RESORTS & HOTELS LTD.
445,503837,SHREE RAJASTHAN SYNTEX LTD.
446,503863,SHREE MANUFACTURING CO.LTD.
447,503873,Priyadarshini Spinning Mills Ltd.
448,503881,HIND SYNTEX LTD.
449,503893,SATYAM SILK MILLS LTD.
450,503940,Asian Electronics Ltd.
451,503960,BHARAT BIJLEE LTD.
452,503978,DIGITAL ELECTRONICS LTD.
453,504000,ELPRO INTERNATIONAL LTD.
454,504008,EMCO LTD.
455,504028,GEE LTD.
456,504036,HIND RECTIFIERS LTD.
457,504058,INDO-NATIONAL LTD.
458,504067,ZENSAR TECHNOLOGIES LTD.
459,504076,JYOTI LTD.
460,504080,JSL INDUSTRIES LTD.
461,504084,KAYCEE INDUSTRIES LTD.
462,504092,INDOKEM LTD.
463,504093,PANASONIC ENERGY INDIA COMPANY LTD.
464,504112,NELCO LTD.
465,504132,PERMANENT MAGNETS LTD.
466,504176,HIGH ENERGY BATTERIES (INDIA) LTD.
467,504180,STANDARD BATTERIES LTD.
468,504212,UNIVERSAL CABLES LTD.
469,504220,W.S.INDUSTRIES (INDIA) LTD.
470,504240,DELTON CABLES LTD.
471,504256,DELTRON LTD.
472,504258,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.
473,504269,KHAITAN ELECTRICALS LTD.
474,504273,Modulex Construction Technologies Ltd
475,504286,Delta Manufacturing Ltd
476,504288,Polar Industries Ltd.
477,504335,Rutron International Ltd.
478,504336,Indtradeco Ltd.
479,504340,Confidence Finance And Trading Limited
480,504341,Ravindra Energy Ltd
481,504345,Sam Leaseco Ltd.
482,504346,G.d.trading & Agencies Ltd.
483,504351,EMPOWER INDIA LTD.
484,504353,Titan Trading & Agencies Ltd.
485,504356,MULTIPURPOSE TRADING & AGENCIES LTD.
486,504358,Turbotech Engineering Ltd.
487,504360,REMI SALES & ENGINEERING LTD.
488,504365,RIDHI SYNTHETICS LTD.
489,504367,Champion Finsec Ltd.
490,504369,GRANDMA TRADING & AGENCIES LTD.
491,504370,ARDI INVESTMENT & TRADING LTD.
492,504375,SOFTBPO GLOBAL SERVICES LTD.
493,504378,Nyssa Corporation Limited
494,504380,Flomic Global Logistics Ltd
495,504382,Simplex Trading & Agencies Ltd.
496,504387,ELF TRADING & CHEMICALS MANUFACTURING LTD.
