,SYMBOL,NAME OF COMPANY,yTickers
858,INDUSTOWER,Indus Towers Limited,INDUSTOWER.NS
859,INFIBEAM,Infibeam Avenues Limited,INFIBEAM.NS
860,INFOBEAN,InfoBeans Technologies Limited,INFOBEAN.NS
861,INFOMEDIA,Infomedia Press Limited,INFOMEDIA.NS
862,INFY,Infosys Limited,INFY.NS
863,INGERRAND,Ingersoll Rand (India) Limited,INGERRAND.NS
864,INNOVACAP,Innova Captab Limited,INNOVACAP.NS
865,INNOVANA,Innovana Thinklabs Limited,INNOVANA.NS
866,INOXGREEN,Inox Green Energy Services Limited,INOXGREEN.NS
867,INOXINDIA,INOX India Limited,INOXINDIA.NS
868,INOXWIND,Inox Wind Limited,INOXWIND.NS
869,INSECTICID,Insecticides (India) Limited,INSECTICID.NS
870,INSPIRISYS,Inspirisys Solutions Limited,INSPIRISYS.NS
871,INTELLECT,Intellect Design Arena Limited,INTELLECT.NS
872,INTENTECH,Intense Technologies Limited,INTENTECH.NS
873,INTERARCH,Interarch Building Solutions Limited,INTERARCH.NS
874,INTLCONV,International Conveyors Limited,INTLCONV.NS
875,INVENTURE,Inventure Growth & Securities Limited,INVENTURE.NS
876,IOB,Indian Overseas Bank,IOB.NS
877,IOC,Indian Oil Corporation Limited,IOC.NS
878,IOLCP,IOL Chemicals and Pharmaceuticals Limited,IOLCP.NS
879,IONEXCHANG,ION Exchange (India) Limited,IONEXCHANG.NS
880,IPCALAB,IPCA Laboratories Limited,IPCALAB.NS
881,IPL,India Pesticides Limited,IPL.NS
882,IRB,IRB Infrastructure Developers Limited,IRB.NS
883,IRCON,Ircon International Limited,IRCON.NS
884,IRCTC,Indian Railway Catering And Tourism Corporation Limited,IRCTC.NS
885,IREDA,Indian Renewable Energy Development Agency Limited,IREDA.NS
886,IRFC,Indian Railway Finance Corporation Limited,IRFC.NS
887,IRIS,Iris Business Services Limited,IRIS.NS
888,IRISDOREME,Iris Clothings Limited,IRISDOREME.NS
889,IRMENERGY,IRM Energy Limited,IRMENERGY.NS
890,ISFT,Intrasoft Technologies Limited,ISFT.NS
891,ISGEC,Isgec Heavy Engineering Limited,ISGEC.NS
892,ISHANCH,Ishan Dyes and Chemicals Limited,ISHANCH.NS
893,ITC,ITC Limited,ITC.NS
894,ITCHOTELS,ITC Hotels Limited,ITCHOTELS.NS
895,ITDC,India Tourism Development Corporation Limited,ITDC.NS
896,ITDCEM,ITD Cementation India Limited,ITDCEM.NS
897,ITI,ITI Limited,ITI.NS
898,IVC,IL&FS Investment Managers Limited,IVC.NS
899,IVP,IVP Limited,IVP.NS
900,IWEL,Inox Wind Energy Limited,IWEL.NS
901,IXIGO,Le Travenues Technology Limited,IXIGO.NS
902,IZMO,IZMO Limited,IZMO.NS
903,J&KBANK,The Jammu & Kashmir Bank Limited,J&KBANK.NS
904,JAGRAN,Jagran Prakashan Limited,JAGRAN.NS
905,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,JAGSNPHARM.NS
906,JAIBALAJI,Jai Balaji Industries Limited,JAIBALAJI.NS
907,JAICORPLTD,Jai Corp Limited,JAICORPLTD.NS
908,JAIPURKURT,Nandani Creation Limited,JAIPURKURT.NS
909,JAMNAAUTO,Jamna Auto Industries Limited,JAMNAAUTO.NS
910,JASH,Jash Engineering Limited,JASH.NS
911,JAYAGROGN,Jayant Agro Organics Limited,JAYAGROGN.NS
912,JAYBARMARU,Jay Bharat Maruti Limited,JAYBARMARU.NS
913,JAYNECOIND,Jayaswal Neco Industries Limited,JAYNECOIND.NS
914,JAYSREETEA,Jayshree Tea & Industries Limited,JAYSREETEA.NS
915,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM.NS
916,JBMA,JBM Auto Limited,JBMA.NS
917,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,JCHAC.NS
918,JETFREIGHT,Jet Freight Logistics Limited,JETFREIGHT.NS
919,JGCHEM,J.G.Chemicals Limited,JGCHEM.NS
920,JHS,JHS Svendgaard Laboratories Limited,JHS.NS
921,JINDALPHOT,Jindal Photo Limited,JINDALPHOT.NS
922,JINDALPOLY,Jindal Poly Films Limited,JINDALPOLY.NS
923,JINDALSAW,Jindal Saw Limited,JINDALSAW.NS
924,JINDALSTEL,Jindal Steel & Power Limited,JINDALSTEL.NS
925,JINDRILL,Jindal Drilling And Industries Limited,JINDRILL.NS
926,JINDWORLD,Jindal Worldwide Limited,JINDWORLD.NS
927,JIOFIN,Jio Financial Services Limited,JIOFIN.NS
928,JISLDVREQS,Jain Irrigation Systems Limited,JISLDVREQS.NS
929,JISLJALEQS,Jain Irrigation Systems Limited,JISLJALEQS.NS
930,JITFINFRA,JITF Infralogistics Limited,JITFINFRA.NS
931,JKCEMENT,JK Cement Limited,JKCEMENT.NS
932,JKIL,J.Kumar Infraprojects Limited,JKIL.NS
933,JKLAKSHMI,JK Lakshmi Cement Limited,JKLAKSHMI.NS
934,JKPAPER,JK Paper Limited,JKPAPER.NS
935,JKTYRE,JK Tyre & Industries Limited,JKTYRE.NS
936,JLHL,Jupiter Life Line Hospitals Limited,JLHL.NS
937,JMA,Jullundur Motor Agency (Delhi) Limited,JMA.NS
938,JMFINANCIL,JM Financial Limited,JMFINANCIL.NS
939,JNKINDIA,JNK India Limited,JNKINDIA.NS
940,JOCIL,Jocil Limited,JOCIL.NS
941,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,JPOLYINVST.NS
942,JPPOWER,Jaiprakash Power Ventures Limited,JPPOWER.NS
943,JSFB,Jana Small Finance Bank Limited,JSFB.NS
944,JSL,Jindal Stainless Limited,JSL.NS
945,JSWENERGY,JSW Energy Limited,JSWENERGY.NS
946,JSWHL,JSW Holdings Limited,JSWHL.NS
947,JSWINFRA,JSW Infrastructure Limited,JSWINFRA.NS
948,JSWSTEEL,JSW Steel Limited,JSWSTEEL.NS
949,JTEKTINDIA,Jtekt India Limited,JTEKTINDIA.NS
950,JTLIND,JTL INDUSTRIES LIMITED,JTLIND.NS
951,JUBLCPL,Jubilant Agri and Consumer Products Limited,JUBLCPL.NS
952,JUBLFOOD,Jubilant Foodworks Limited,JUBLFOOD.NS
953,JUBLINGREA,Jubilant Ingrevia Limited,JUBLINGREA.NS
954,JUBLPHARMA,Jubilant Pharmova Limited,JUBLPHARMA.NS
955,JUNIPER,Juniper Hotels Limited,JUNIPER.NS
956,JUSTDIAL,Just Dial Limited,JUSTDIAL.NS
957,JWL,Jupiter Wagons Limited,JWL.NS
958,JYOTHYLAB,Jyothy Labs Limited,JYOTHYLAB.NS
959,JYOTICNC,Jyoti CNC Automation Limited,JYOTICNC.NS
960,JYOTISTRUC,Jyoti Structures Limited,JYOTISTRUC.NS
961,KABRAEXTRU,Kabra Extrusion Technik Limited,KABRAEXTRU.NS
962,KAJARIACER,Kajaria Ceramics Limited,KAJARIACER.NS
963,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,KAKATCEM.NS
964,KALAMANDIR,Sai Silks (Kalamandir) Limited,KALAMANDIR.NS
965,KALYANI,Kalyani Commercials Limited,KALYANI.NS
966,KALYANIFRG,Kalyani Forge Limited,KALYANIFRG.NS
967,KALYANKJIL,Kalyan Jewellers India Limited,KALYANKJIL.NS
968,KAMATHOTEL,Kamat Hotels (I) Limited,KAMATHOTEL.NS
969,KAMDHENU,Kamdhenu Limited,KAMDHENU.NS
970,KAMOPAINTS,Kamdhenu Ventures Limited,KAMOPAINTS.NS
971,KANANIIND,Kanani Industries Limited,KANANIIND.NS
972,KANORICHEM,Kanoria Chemicals & Industries Limited,KANORICHEM.NS
973,KANPRPLA,Kanpur Plastipack Limited,KANPRPLA.NS
974,KANSAINER,Kansai Nerolac Paints Limited,KANSAINER.NS
975,KAPSTON,Kapston Services Limited,KAPSTON.NS
976,KARMAENG,Karma Energy Limited,KARMAENG.NS
977,KARURVYSYA,Karur Vysya Bank Limited,KARURVYSYA.NS
978,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA.NS
979,KAVVERITEL,Kavveri Telecom Products Limited,KAVVERITEL.NS
980,KAYA,Kaya Limited,KAYA.NS
981,KAYNES,Kaynes Technology India Limited,KAYNES.NS
982,KBCGLOBAL,KBC Global Limited,KBCGLOBAL.NS
983,KCP,KCP Limited,KCP.NS
984,KCPSUGIND,KCP Sugar and Industries Corporation Limited,KCPSUGIND.NS
985,KDDL,KDDL Limited,KDDL.NS
986,KEC,KEC International Limited,KEC.NS
987,KECL,Kirloskar Electric Company Limited,KECL.NS
988,KEEPLEARN,DSJ Keep Learning Limited,KEEPLEARN.NS
989,KEI,KEI Industries Limited,KEI.NS
990,KELLTONTEC,Kellton Tech Solutions Limited,KELLTONTEC.NS
991,KERNEX,Kernex Microsystems (India) Limited,KERNEX.NS
992,KESORAMIND,Kesoram Industries Limited,KESORAMIND.NS
993,KEYFINSERV,Keynote Financial Services Limited,KEYFINSERV.NS
994,KFINTECH,Kfin Technologies Limited,KFINTECH.NS
995,KHADIM,Khadim India Limited,KHADIM.NS
996,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,KHAICHEM.NS
997,KHAITANLTD,Khaitan (India) Limited,KHAITANLTD.NS
998,KHANDSE,Khandwala Securities Limited,KHANDSE.NS
999,KICL,Kalyani Investment Company Limited,KICL.NS
1000,KILITCH,Kilitch Drugs (India) Limited,KILITCH.NS
1001,KIMS,Krishna Institute of Medical Sciences Limited,KIMS.NS
1002,KINGFA,Kingfa Science & Technology (India) Limited,KINGFA.NS
1003,KIOCL,KIOCL Limited,KIOCL.NS
1004,KIRIINDUS,Kiri Industries Limited,KIRIINDUS.NS
1005,KIRLOSBROS,Kirloskar Brothers Limited,KIRLOSBROS.NS
1006,KIRLOSENG,Kirloskar Oil Engines Limited,KIRLOSENG.NS
1007,KIRLOSIND,Kirloskar Industries Limited,KIRLOSIND.NS
1008,KIRLPNU,Kirloskar Pneumatic Company Limited,KIRLPNU.NS
1009,KITEX,Kitex Garments Limited,KITEX.NS
1010,KKCL,Kewal Kiran Clothing Limited,KKCL.NS
1011,KMEW,Knowledge Marine & Engineering Works Limited,KMEW.NS
1012,KMSUGAR,K.M.Sugar Mills Limited,KMSUGAR.NS
1013,KNRCON,KNR Constructions Limited,KNRCON.NS
1014,KOHINOOR,Kohinoor Foods Limited,KOHINOOR.NS
1015,KOKUYOCMLN,Kokuyo Camlin Limited,KOKUYOCMLN.NS
1016,KOLTEPATIL,Kolte - Patil Developers Limited,KOLTEPATIL.NS
1017,KOPRAN,Kopran Limited,KOPRAN.NS
1018,KOTAKBANK,Kotak Mahindra Bank Limited,KOTAKBANK.NS
1019,KOTARISUG,Kothari Sugars And Chemicals Limited,KOTARISUG.NS
1020,KOTHARIPET,Kothari Petrochemicals Limited,KOTHARIPET.NS
1021,KOTHARIPRO,Kothari Products Limited,KOTHARIPRO.NS
1022,KPEL,K.P. Energy Limited,KPEL.NS
1023,KPIGREEN,KPI Green Energy Limited,KPIGREEN.NS
1024,KPIL,Kalpataru Projects International Limited,KPIL.NS
1025,KPITTECH,KPIT Technologies Limited,KPITTECH.NS
1026,KPRMILL,K.P.R. Mill Limited,KPRMILL.NS
1027,KRBL,KRBL Limited,KRBL.NS
1028,KREBSBIO,Krebs Biochemicals and Industries Limited,KREBSBIO.NS
1029,KRIDHANINF,Kridhan Infra Limited,KRIDHANINF.NS
1030,KRISHANA,Krishana Phoschem Limited,KRISHANA.NS
1031,KRITI,Kriti Industries (India) Limited,KRITI.NS
1032,KRITIKA,Kritika Wires Limited,KRITIKA.NS
1033,KRITINUT,Kriti Nutrients Limited,KRITINUT.NS
1034,KRN,KRN Heat Exchanger and Refrigeration Limited,KRN.NS
1035,KRONOX,Kronox Lab Sciences Limited,KRONOX.NS
1036,KROSS,Kross Limited,KROSS.NS
1037,KRSNAA,Krsnaa Diagnostics Limited,KRSNAA.NS
1038,KRYSTAL,Krystal Integrated Services Limited,KRYSTAL.NS
1039,KSB,Ksb Limited,KSB.NS
1040,KSCL,Kaveri Seed Company Limited,KSCL.NS
1041,KSHITIJPOL,Kshitij Polyline Limited,KSHITIJPOL.NS
1042,KSL,Kalyani Steels Limited,KSL.NS
1043,KSOLVES,Ksolves India Limited,KSOLVES.NS
1044,KTKBANK,The Karnataka Bank Limited,KTKBANK.NS
1045,KUANTUM,Kuantum Papers Limited,KUANTUM.NS
1046,LAGNAM,Lagnam Spintex Limited,LAGNAM.NS
1047,LAKPRE,Lakshmi Precision Screws Limited,LAKPRE.NS
1048,LAL,Lorenzini Apparels Limited,LAL.NS
1049,LALPATHLAB,Dr. Lal Path Labs Ltd.,LALPATHLAB.NS
1050,LAMBODHARA,Lambodhara Textiles Limited,LAMBODHARA.NS
1051,LANCORHOL,Lancor Holdings Limited,LANCORHOL.NS
1052,LANDMARK,Landmark Cars Limited,LANDMARK.NS
1053,LAOPALA,La Opala RG Limited,LAOPALA.NS
1054,LASA,Lasa Supergenerics Limited,LASA.NS
1055,LATENTVIEW,Latent View Analytics Limited,LATENTVIEW.NS
1056,LATTEYS,Latteys Industries Limited,LATTEYS.NS
1057,LAURUSLABS,Laurus Labs Limited,LAURUSLABS.NS
1058,LAXMICOT,Laxmi Cotspin Limited,LAXMICOT.NS
1059,LAXMIDENTL,Laxmi Dental Limited,LAXMIDENTL.NS
1060,LCCINFOTEC,LCC Infotech Limited,LCCINFOTEC.NS
1061,LEMONTREE,Lemon Tree Hotels Limited,LEMONTREE.NS
1062,LEXUS,Lexus Granito (India) Limited,LEXUS.NS
1063,LFIC,Lakshmi Finance & Industrial Corporation Limited,LFIC.NS
1064,LGBBROSLTD,LG Balakrishnan & Bros Limited,LGBBROSLTD.NS
1065,LGHL,Laxmi Goldorna House Limited,LGHL.NS
1066,LIBAS,Libas Consumer Products Limited,LIBAS.NS
1067,LIBERTSHOE,Liberty Shoes Limited,LIBERTSHOE.NS
1068,LICHSGFIN,LIC Housing Finance Limited,LICHSGFIN.NS
1069,LICI,Life Insurance Corporation Of India,LICI.NS
1070,LIKHITHA,Likhitha Infrastructure Limited,LIKHITHA.NS
1071,LINC,Linc Limited,LINC.NS
1072,LINCOLN,Lincoln Pharmaceuticals Limited,LINCOLN.NS
1073,LINDEINDIA,Linde India Limited,LINDEINDIA.NS
1074,LLOYDS-RE1,LLOYDS ENGINEERING WORKS LTD-RE,LLOYDS-RE1.NS
1075,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,LLOYDSENGG.NS
1076,LLOYDSENT,Lloyds Enterprises Limited,LLOYDSENT.NS
1077,LLOYDSME,Lloyds Metals And Energy Limited,LLOYDSME.NS
1078,LMW,LMW Limited,LMW.NS
1079,LODHA,Macrotech Developers Limited,LODHA.NS
1080,LOKESHMACH,Lokesh Machines Limited,LOKESHMACH.NS
1081,LORDSCHLO,Lords Chloro Alkali Limited,LORDSCHLO.NS
1082,LOTUSEYE,Lotus Eye Hospital and Institute Limited,LOTUSEYE.NS
1083,LOVABLE,Lovable Lingerie Limited,LOVABLE.NS
1084,LOYALTEX,Loyal Textile Mills Limited,LOYALTEX.NS
1085,LPDC,Landmark Property Development Company Limited,LPDC.NS
1086,LT,Larsen & Toubro Limited,LT.NS
1087,LTF,L&T Finance Limited,LTF.NS
1088,LTFOODS,LT Foods Limited,LTFOODS.NS
1089,LTIM,LTIMindtree Limited,LTIM.NS
1090,LTTS,L&T Technology Services Limited,LTTS.NS
1091,LUMAXIND,Lumax Industries Limited,LUMAXIND.NS
1092,LUMAXTECH,Lumax Auto Technologies Limited,LUMAXTECH.NS
1093,LUPIN,Lupin Limited,LUPIN.NS
1094,LUXIND,Lux Industries Limited,LUXIND.NS
1095,LXCHEM,Laxmi Organic Industries Limited,LXCHEM.NS
1096,LYKALABS,Lyka Labs Limited,LYKALABS.NS
1097,LYPSAGEMS,Lypsa Gems & Jewellery Limited,LYPSAGEMS.NS
1098,M&M,Mahindra & Mahindra Limited,M&M.NS
1099,M&MFIN,Mahindra & Mahindra Financial Services Limited,M&MFIN.NS
1100,MAANALU,Maan Aluminium Limited,MAANALU.NS
1101,MACPOWER,Macpower CNC Machines Limited,MACPOWER.NS
1102,MADHAV,Madhav Marbles and Granites Limited,MADHAV.NS
1103,MADHUCON,Madhucon Projects Limited,MADHUCON.NS
1104,MADRASFERT,Madras Fertilizers Limited,MADRASFERT.NS
1105,MAGADSUGAR,Magadh Sugar & Energy Limited,MAGADSUGAR.NS
1106,MAGNUM,Magnum Ventures Limited,MAGNUM.NS
1107,MAHABANK,Bank of Maharashtra,MAHABANK.NS
1108,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,MAHAPEXLTD.NS
1109,MAHASTEEL,Mahamaya Steel Industries Limited,MAHASTEEL.NS
1110,MAHEPC,Mahindra EPC Irrigation Limited,MAHEPC.NS
1111,MAHESHWARI,Maheshwari Logistics Limited,MAHESHWARI.NS
1112,MAHLIFE,Mahindra Lifespace Developers Limited,MAHLIFE.NS
1113,MAHLOG,Mahindra Logistics Limited,MAHLOG.NS
1114,MAHSCOOTER,Maharashtra Scooters Limited,MAHSCOOTER.NS
1115,MAHSEAMLES,Maharashtra Seamless Limited,MAHSEAMLES.NS
1116,MAITHANALL,Maithan Alloys Limited,MAITHANALL.NS
1117,MALLCOM,Mallcom (India) Limited,MALLCOM.NS
1118,MALUPAPER,Malu Paper Mills Limited,MALUPAPER.NS
1119,MAMATA,Mamata Machinery Limited,MAMATA.NS
1120,MANAKALUCO,Manaksia Aluminium Company Limited,MANAKALUCO.NS
1121,MANAKCOAT,Manaksia Coated Metals & Industries Limited,MANAKCOAT.NS
1122,MANAKSIA,Manaksia Limited,MANAKSIA.NS
1123,MANAKSTEEL,Manaksia Steels Limited,MANAKSTEEL.NS
1124,MANALIPETC,Manali Petrochemicals Limited,MANALIPETC.NS
1125,MANAPPURAM,Manappuram Finance Limited,MANAPPURAM.NS
1126,MANBA,Manba Finance Limited,MANBA.NS
1127,MANCREDIT,Mangal Credit and Fincorp Limited,MANCREDIT.NS
1128,MANGALAM,Mangalam Drugs And Organics Limited,MANGALAM.NS
1129,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,MANGCHEFER.NS
1130,MANGLMCEM,Mangalam Cement Limited,MANGLMCEM.NS
1131,MANINDS,Man Industries (India) Limited,MANINDS.NS
1132,MANINFRA,Man Infraconstruction Limited,MANINFRA.NS
1133,MANKIND,Mankind Pharma Limited,MANKIND.NS
1134,MANOMAY,Manomay Tex India Limited,MANOMAY.NS
1135,MANORAMA,Manorama Industries Limited,MANORAMA.NS
1136,MANORG,Mangalam Organics Limited,MANORG.NS
1137,MANUGRAPH,Manugraph India Limited,MANUGRAPH.NS
1138,MANYAVAR,Vedant Fashions Limited,MANYAVAR.NS
1139,MAPMYINDIA,C.E. Info Systems Limited,MAPMYINDIA.NS
1140,MARALOVER,Maral Overseas Limited,MARALOVER.NS
1141,MARATHON,Marathon Nextgen Realty Limited,MARATHON.NS
1142,MARICO,Marico Limited,MARICO.NS
1143,MARINE,Marine Electricals (India) Limited,MARINE.NS
1144,MARKSANS,Marksans Pharma Limited,MARKSANS.NS
1145,MARSHALL,Marshall Machines Limited,MARSHALL.NS
1146,MARUTI,Maruti Suzuki India Limited,MARUTI.NS
1147,MASFIN,MAS Financial Services Limited,MASFIN.NS
1148,MASKINVEST,Mask Investments Limited,MASKINVEST.NS
1149,MASTEK,Mastek Limited,MASTEK.NS
1150,MASTERTR,Master Trust Limited,MASTERTR.NS
1151,MATRIMONY,Matrimony.Com Limited,MATRIMONY.NS
1152,MAWANASUG,Mawana Sugars Limited,MAWANASUG.NS
1153,MAXESTATES,Max Estates Limited,MAXESTATES.NS
1154,MAXHEALTH,Max Healthcare Institute Limited,MAXHEALTH.NS
1155,MAXIND,Max India Limited,MAXIND.NS
1156,MAXIND-RE,Max India Ltd-RE,MAXIND-RE.NS
1157,MAYURUNIQ,Mayur Uniquoters Ltd,MAYURUNIQ.NS
1158,MAZDA,Mazda Limited,MAZDA.NS
1159,MAZDOCK,Mazagon Dock Shipbuilders Limited,MAZDOCK.NS
1160,MBAPL,Madhya Bharat Agro Products Limited,MBAPL.NS
1161,MBLINFRA,MBL Infrastructure Limited,MBLINFRA.NS
1162,MCL,Madhav Copper Limited,MCL.NS
1163,MCLEODRUSS,Mcleod Russel India Limited,MCLEODRUSS.NS
1164,MCLOUD,Magellanic Cloud Limited,MCLOUD.NS
1165,MCX,Multi Commodity Exchange of India Limited,MCX.NS
1166,MEDANTA,Global Health Limited,MEDANTA.NS
1167,MEDIASSIST,Medi Assist Healthcare Services Limited,MEDIASSIST.NS
1168,MEDICAMEQ,Medicamen Biotech Limited,MEDICAMEQ.NS
1169,MEDICO,Medico Remedies Limited,MEDICO.NS
1170,MEDPLUS,Medplus Health Services Limited,MEDPLUS.NS
1171,MEGASOFT,Megasoft Limited,MEGASOFT.NS
1172,MEGASTAR,Megastar Foods Limited,MEGASTAR.NS
1173,MENONBE,Menon Bearings Limited,MENONBE.NS
1174,MEP,MEP Infrastructure Developers Limited,MEP.NS
1175,METROBRAND,Metro Brands Limited,METROBRAND.NS
1176,METROPOLIS,Metropolis Healthcare Limited,METROPOLIS.NS
1177,MFML,Mahalaxmi Fabric Mills Limited,MFML.NS
1178,MFSL,Max Financial Services Limited,MFSL.NS
1179,MGEL,Mangalam Global Enterprise Limited,MGEL.NS
1180,MGL,Mahanagar Gas Limited,MGL.NS
1181,MHLXMIRU,Mahalaxmi Rubtech Limited,MHLXMIRU.NS
1182,MHRIL,Mahindra Holidays & Resorts India Limited,MHRIL.NS
1183,MICEL,MIC Electronics Limited,MICEL.NS
1184,MIDHANI,Mishra Dhatu Nigam Limited,MIDHANI.NS
1185,MINDACORP,Minda Corporation Limited,MINDACORP.NS
1186,MINDTECK,Mindteck (India) Limited,MINDTECK.NS
1187,MIRCELECTR,MIRC Electronics Limited,MIRCELECTR.NS
1188,MIRZAINT,Mirza International Limited,MIRZAINT.NS
1189,MITCON,MITCON Consultancy & Engineering Services Limited,MITCON.NS
1190,MITTAL,Mittal Life Style Limited,MITTAL.NS
1191,MKPL,M K Proteins Limited,MKPL.NS
1192,MMFL,MM Forgings Limited,MMFL.NS
1193,MMP,MMP Industries Limited,MMP.NS
1194,MMTC,MMTC Limited,MMTC.NS
1195,MOBIKWIK,One Mobikwik Systems Limited,MOBIKWIK.NS
1196,MODIRUBBER,Modi Rubber Limited,MODIRUBBER.NS
1197,MODISONLTD,MODISON LIMITED,MODISONLTD.NS
1198,MODTHREAD,Modern Threads (India) Limited,MODTHREAD.NS
1199,MOHITIND,Mohit Industries Limited,MOHITIND.NS
1200,MOIL,MOIL Limited,MOIL.NS
1201,MOKSH,Moksh Ornaments Limited,MOKSH.NS
1202,MOL,Meghmani Organics Limited,MOL.NS
1203,MOLDTECH,Mold-Tek Technologies Limited,MOLDTECH.NS
1204,MOLDTKPAC,Mold-Tek Packaging Limited,MOLDTKPAC.NS
1205,MONARCH,Monarch Networth Capital Limited,MONARCH.NS
1206,MONTECARLO,Monte Carlo Fashions Limited,MONTECARLO.NS
1207,MOREPENLAB,Morepen Laboratories Limited,MOREPENLAB.NS
1208,MOSCHIP,Moschip Technologies Limited,MOSCHIP.NS
1209,MOTHERSON,Samvardhana Motherson International Limited,MOTHERSON.NS
1210,MOTILALOFS,Motilal Oswal Financial Services Limited,MOTILALOFS.NS
1211,MOTISONS,Motisons Jewellers Limited,MOTISONS.NS
1212,MOTOGENFIN,The Motor & General Finance Limited,MOTOGENFIN.NS
1213,MPHASIS,MphasiS Limited,MPHASIS.NS
1214,MPSLTD,MPS Limited,MPSLTD.NS
1215,MRF,MRF Limited,MRF.NS
1216,MRPL,Mangalore Refinery and Petrochemicals Limited,MRPL.NS
1217,MSPL,MSP Steel & Power Limited,MSPL.NS
1218,MSTCLTD,Mstc Limited,MSTCLTD.NS
1219,MSUMI,Motherson Sumi Wiring India Limited,MSUMI.NS
1220,MTARTECH,Mtar Technologies Limited,MTARTECH.NS
1221,MTEDUCARE,MT Educare Limited,MTEDUCARE.NS
1222,MTNL,Mahanagar Telephone Nigam Limited,MTNL.NS
1223,MUFIN,Mufin Green Finance Limited,MUFIN.NS
1224,MUFTI,Credo Brands Marketing Limited,MUFTI.NS
1225,MUKANDLTD,Mukand Limited,MUKANDLTD.NS
1226,MUKKA,Mukka Proteins Limited,MUKKA.NS
1227,MUKTAARTS,Mukta Arts Limited,MUKTAARTS.NS
1228,MUNJALAU,Munjal Auto Industries Limited,MUNJALAU.NS
1229,MUNJALSHOW,Munjal Showa Limited,MUNJALSHOW.NS
1230,MURUDCERA,Murudeshwar Ceramics Limited,MURUDCERA.NS
1231,MUTHOOTCAP,Muthoot Capital Services Limited,MUTHOOTCAP.NS
1232,MUTHOOTFIN,Muthoot Finance Limited,MUTHOOTFIN.NS
1233,MUTHOOTMF,Muthoot Microfin Limited,MUTHOOTMF.NS
1234,MVGJL,Manoj Vaibhav Gems N Jewellers Limited,MVGJL.NS
1235,NACLIND,NACL Industries Limited,NACLIND.NS
1236,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT.NS
1237,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,NAGREEKCAP.NS
1238,NAGREEKEXP,Nagreeka Exports Limited,NAGREEKEXP.NS
1239,NAHARCAP,Nahar Capital and Financial Services Limited,NAHARCAP.NS
1240,NAHARINDUS,Nahar Industrial Enterprises Limited,NAHARINDUS.NS
1241,NAHARPOLY,Nahar Poly Films Limited,NAHARPOLY.NS
1242,NAHARSPING,Nahar Spinning Mills Limited,NAHARSPING.NS
1243,NAM-INDIA,Nippon Life India Asset Management Limited,NAM-INDIA.NS
1244,NARMADA,Narmada Agrobase Limited,NARMADA.NS
1245,NATCAPSUQ,Natural Capsules Limited,NATCAPSUQ.NS
1246,NATCOPHARM,Natco Pharma Limited,NATCOPHARM.NS
1247,NATHBIOGEN,Nath Bio-Genes (India) Limited,NATHBIOGEN.NS
1248,NATIONALUM,National Aluminium Company Limited,NATIONALUM.NS
1249,NAUKRI,Info Edge (India) Limited,NAUKRI.NS
1250,NAVA,NAVA LIMITED,NAVA.NS
1251,NAVINFLUOR,Navin Fluorine International Limited,NAVINFLUOR.NS
1252,NAVKARCORP,Navkar Corporation Limited,NAVKARCORP.NS
1253,NAVKARURB,Navkar Urbanstructure Limited,NAVKARURB.NS
1254,NAVNETEDUL,Navneet Education Limited,NAVNETEDUL.NS
1255,NAZARA,Nazara Technologies Limited,NAZARA.NS
1256,NBCC,NBCC (India) Limited,NBCC.NS
1257,NBIFIN,N. B. I. Industrial Finance Company Limited,NBIFIN.NS
1258,NCC,NCC Limited,NCC.NS
1259,NCLIND,NCL Industries Limited,NCLIND.NS
1260,NDGL,Naga Dhunseri Group Limited,NDGL.NS
1261,NDL,Nandan Denim Limited,NDL.NS
1262,NDLVENTURE,NDL Ventures Limited,NDLVENTURE.NS
1263,NDRAUTO,Ndr Auto Components Limited,NDRAUTO.NS
1264,NDTV,New Delhi Television Limited,NDTV.NS
1265,NECCLTD,North Eastern Carrying Corporation Limited,NECCLTD.NS
1266,NECLIFE,Nectar Lifesciences Limited,NECLIFE.NS
1267,NELCAST,Nelcast Limited,NELCAST.NS
1268,NELCO,NELCO Limited,NELCO.NS
1269,NEOGEN,Neogen Chemicals Limited,NEOGEN.NS
1270,NESCO,Nesco Limited,NESCO.NS
1271,NESTLEIND,Nestle India Limited,NESTLEIND.NS
1272,NETWEB,Netweb Technologies India Limited,NETWEB.NS
1273,NETWORK18,Network18 Media & Investments Limited,NETWORK18.NS
1274,NEULANDLAB,Neuland Laboratories Limited,NEULANDLAB.NS
1275,NEWGEN,Newgen Software Technologies Limited,NEWGEN.NS
