,SYMBOL,NAME OF COMPANY,yTickers
220,BAJAJHCARE,Bajaj Healthcare Limited,BAJAJHCARE.NS
221,BAJAJHFL,Bajaj Housing Finance Limited,BAJAJHFL.NS
222,BAJAJHIND,Bajaj Hindusthan Sugar Limited,BAJAJHIND.NS
223,BAJAJHLDNG,Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS
224,BAJAJINDEF,Indef Manufacturing Limited,BAJAJINDEF.NS
225,BAJEL,Bajel Projects Limited,BAJEL.NS
226,BAJFINANCE,Bajaj Finance Limited,BAJFINANCE.NS
227,BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE.NS
228,BALAJITELE,Balaji Telefilms Limited,BALAJITELE.NS
229,BALAMINES,Balaji Amines Limited,BALAMINES.NS
230,BALAXI,BALAXI PHARMACEUTICALS LIMITED,BALAXI.NS
231,BALKRISHNA,Balkrishna Paper Mills Limited,BALKRISHNA.NS
232,BALKRISIND,Balkrishna Industries Limited,BALKRISIND.NS
233,BALMLAWRIE,Balmer Lawrie & Company Limited,BALMLAWRIE.NS
234,BALPHARMA,Bal Pharma Limited,BALPHARMA.NS
235,BALRAMCHIN,Balrampur Chini Mills Limited,BALRAMCHIN.NS
236,BALUFORGE,Balu Forge Industries Limited,BALUFORGE.NS
237,BANARBEADS,Banaras Beads Limited,BANARBEADS.NS
238,BANARISUG,Bannari Amman Sugars Limited,BANARISUG.NS
239,BANCOINDIA,Banco Products (I) Limited,BANCOINDIA.NS
240,BANDHANBNK,Bandhan Bank Limited,BANDHANBNK.NS
241,BANG,Bang Overseas Limited,BANG.NS
242,BANKA,Banka BioLoo Limited,BANKA.NS
243,BANKBARODA,Bank of Baroda,BANKBARODA.NS
244,BANKINDIA,Bank of India,BANKINDIA.NS
245,BANSALWIRE,Bansal Wire Industries Limited,BANSALWIRE.NS
246,BANSWRAS,Banswara Syntex Limited,BANSWRAS.NS
247,BARBEQUE,Barbeque Nation Hospitality Limited,BARBEQUE.NS
248,BASF,BASF India Limited,BASF.NS
249,BASML,Bannari Amman Spinning Mills Limited,BASML.NS
250,BASML-RE1,Bannari Amman Spinning Mills Limited-RE,BASML-RE1.NS
251,BATAINDIA,Bata India Limited,BATAINDIA.NS
252,BAYERCROP,Bayer Cropscience Limited,BAYERCROP.NS
253,BBL,Bharat Bijlee Limited,BBL.NS
254,BBOX,Black Box Limited,BBOX.NS
255,BBTC,Bombay Burmah Trading Corporation Limited,BBTC.NS
256,BBTCL,B&B Triplewall Containers Limited,BBTCL.NS
257,BCLIND,Bcl Industries Limited,BCLIND.NS
258,BCONCEPTS,Brand Concepts Limited,BCONCEPTS.NS
259,BDL,Bharat Dynamics Limited,BDL.NS
260,BEARDSELL,Beardsell Limited,BEARDSELL.NS
261,BECTORFOOD,Mrs. Bectors Food Specialities Limited,BECTORFOOD.NS
262,BEDMUTHA,Bedmutha Industries Limited,BEDMUTHA.NS
263,BEL,Bharat Electronics Limited,BEL.NS
264,BEML,BEML Limited,BEML.NS
